"year","league","division","team","wins","games","runs","runs_allowed","attendance"
2015,"AL","Central","MIN",83,162,696,700,2220054
2015,"AL","East","NYA",87,162,764,698,3193795
2015,"NL","East","NYN",90,162,683,613,2569753
2015,"AL","West","OAK",68,162,694,729,1768175
2015,"NL","East","PHI",63,162,626,809,1831080
2015,"NL","Central","PIT",98,162,697,596,2498596
2015,"NL","West","SDN",74,162,650,731,2459742
2015,"AL","West","SEA",76,162,656,726,2193581
2015,"NL","West","SFN",84,162,696,627,3375882
2015,"NL","Central","SLN",100,162,647,525,3520889
2015,"AL","East","TBA",80,162,644,642,1287054
2015,"AL","West","TEX",88,162,751,733,2491875
2015,"AL","East","TOR",93,162,891,670,2794891
2015,"NL","East","WAS",83,162,703,635,2619843
2016,"NL","West","ARI",69,162,752,890,2036216
2016,"NL","East","ATL",68,161,649,779,2020914
2016,"AL","East","BAL",89,162,744,715,2172344
2016,"AL","East","BOS",93,162,878,694,2955434
2016,"AL","Central","CHA",78,162,686,715,1746293
2016,"NL","Central","CHN",103,162,808,556,3232420
2016,"NL","Central","CIN",68,162,716,854,1894085
2016,"AL","Central","CLE",94,161,777,676,1591667
2016,"NL","West","COL",75,162,845,860,2602524
2016,"AL","Central","DET",86,161,750,721,2493859
2016,"AL","West","HOU",84,162,724,701,2306623
2016,"AL","Central","KCA",81,0,675,712,2557712
2016,"AL","West","LAA",74,162,717,727,3016142
2016,"NL","West","LAN",91,162,725,638,3703312
2016,"NL","East","MIA",79,161,655,682,1712417
2016,"NL","Central","MIL",73,162,671,733,2314614
2016,"AL","Central","MIN",59,162,722,889,1963912
2016,"AL","East","NYA",84,162,680,702,3063405
2016,"NL","East","NYN",87,162,671,617,2789602
2016,"AL","West","OAK",69,162,653,761,1521506
2016,"NL","East","PHI",71,162,610,796,1915144
2016,"NL","Central","PIT",78,162,729,758,2249201
2016,"NL","West","SDN",68,162,686,770,2351422
2016,"AL","West","SEA",86,162,768,707,2267928
2016,"NL","West","SFN",87,162,715,631,3365256
2016,"NL","Central","SLN",86,162,779,712,3444490
2016,"AL","East","TBA",68,162,672,713,1286163
2016,"AL","West","TEX",95,162,765,757,2710402
2016,"AL","East","TOR",89,162,759,666,3392099
2016,"NL","East","WAS",95,162,763,612,2481938
2017,"NL","West","ARI",93,162,812,659,2134375
2017,"NL","East","ATL",72,162,732,821,2505252
2017,"AL","East","BAL",75,162,743,841,2028424
2017,"AL","East","BOS",93,162,785,668,2917678
2017,"AL","Central","CHA",67,162,706,820,1629470
2017,"NL","Central","CHN",92,162,822,695,3199562
2017,"NL","Central","CIN",68,162,753,869,1836917
2017,"AL","Central","CLE",102,162,818,564,2048138
2017,"NL","West","COL",87,162,824,757,2953650
2017,"AL","Central","DET",64,162,735,894,2321599
2017,"AL","West","HOU",101,162,896,700,2403671
2017,NA,"Central","KCA",80,162,702,791,2220370
2017,"AL","West","LAA",80,162,710,709,3019585
2017,"NL","West","LAN",104,162,770,580,3765856
2017,"NL","East","MIA",77,162,778,822,1583014
2017,"NL","Central","MIL",86,162,732,697,2627705
2017,"AL","Central","MIN",85,162,815,788,2051279
2017,"AL","East","NYA",91,162,858,660,3146966
2017,"NL","East","NYN",70,162,735,863,2460622
2017,"AL","West","OAK",75,162,739,826,1475721
2017,"NL","East","PHI",66,162,690,782,1905354
2017,"NL","Central","PIT",75,162,668,731,1919447
2017,"NL","West","SDN",71,162,604,816,2138491
2017,"AL","West","SEA",78,162,750,772,2135445
2017,"NL","West","SFN",64,162,639,776,3303652
2017,"NL","Central","SLN",83,162,761,705,3447937
2017,"AL","East","TBA",80,162,694,704,1253619
2017,"AL","West","TEX",78,162,799,816,2507760
2017,"AL","East","TOR",76,162,693,784,3203886
2017,"NL","East","WAS",97,162,819,672,2524980
2018,"NL","West","ARI",82,162,693,644,2242695
2018,"NL","East","ATL",90,162,759,657,2555781
2018,"AL","East","BAL",47,162,622,892,1564192
2018,"AL","East","BOS",108,162,876,647,2895575
2018,"AL","Central","CHA",62,162,656,848,1608817
2018,"NL","Central","CHN",95,163,761,645,3181089
2018,"NL","Central","CIN",67,162,696,819,1629356
2018,"AL","Central","CLE",91,162,818,648,1926701
2018,"NL","West","COL",91,163,780,745,3015880
